"province","date_report","cases","cumulative_cases"
"Alberta","25-01-2020",0,0
"Alberta","26-01-2020",0,0
"Alberta","27-01-2020",0,0
"Alberta","28-01-2020",0,0
"Alberta","29-01-2020",0,0
"Alberta","30-01-2020",0,0
"Alberta","31-01-2020",0,0
"Alberta","01-02-2020",0,0
"Alberta","02-02-2020",0,0
"Alberta","03-02-2020",0,0
"Alberta","04-02-2020",0,0
"Alberta","05-02-2020",0,0
"Alberta","06-02-2020",0,0
"Alberta","07-02-2020",0,0
"Alberta","08-02-2020",0,0
"Alberta","09-02-2020",0,0
"Alberta","10-02-2020",0,0
"Alberta","11-02-2020",0,0
"Alberta","12-02-2020",0,0
"Alberta","13-02-2020",0,0
"Alberta","14-02-2020",0,0
"Alberta","15-02-2020",0,0
"Alberta","16-02-2020",0,0
"Alberta","17-02-2020",0,0
"Alberta","18-02-2020",0,0
"Alberta","19-02-2020",0,0
"Alberta","20-02-2020",0,0
"Alberta","21-02-2020",0,0
"Alberta","22-02-2020",0,0
"Alberta","23-02-2020",0,0
"Alberta","24-02-2020",0,0
"Alberta","25-02-2020",0,0
"Alberta","26-02-2020",0,0
"Alberta","27-02-2020",0,0
"Alberta","28-02-2020",0,0
"Alberta","29-02-2020",0,0
"Alberta","01-03-2020",0,0
"Alberta","02-03-2020",0,0
"Alberta","03-03-2020",0,0
"Alberta","04-03-2020",0,0
"Alberta","05-03-2020",1,1
"Alberta","06-03-2020",1,2
"Alberta","07-03-2020",0,2
"Alberta","08-03-2020",2,4
"Alberta","09-03-2020",10,14
"Alberta","10-03-2020",0,14
"Alberta","11-03-2020",5,19
"Alberta","12-03-2020",4,23
"Alberta","13-03-2020",6,29
"Alberta","14-03-2020",10,39
"Alberta","15-03-2020",17,56
"Alberta","16-03-2020",18,74
"Alberta","17-03-2020",23,97
"Alberta","18-03-2020",22,119
"Alberta","19-03-2020",27,146
"Alberta","20-03-2020",49,195
"Alberta","21-03-2020",31,226
"Alberta","22-03-2020",33,259
"Alberta","23-03-2020",42,301
"Alberta","24-03-2020",57,358
"Alberta","25-03-2020",61,419
"Alberta","26-03-2020",67,486
"Alberta","27-03-2020",56,542
"Alberta","28-03-2020",79,621
"Alberta","29-03-2020",40,661
"Alberta","30-03-2020",29,690
"Alberta","31-03-2020",64,754
"Alberta","01-04-2020",117,871
"Alberta","02-04-2020",97,968
"Alberta","03-04-2020",107,1075
"Alberta","04-04-2020",106,1181
"Alberta","05-04-2020",69,1250
"Alberta","06-04-2020",98,1348
"Alberta","07-04-2020",25,1373
"Alberta","08-04-2020",50,1423
"Alberta","09-04-2020",28,1451
"Alberta","10-04-2020",49,1500
"Alberta","11-04-2020",69,1569
"Alberta","12-04-2020",82,1651
"Alberta","13-04-2020",81,1732
"Alberta","14-04-2020",138,1870
"Alberta","15-04-2020",126,1996
"Alberta","16-04-2020",162,2158
"Alberta","17-04-2020",239,2397
"Alberta","18-04-2020",165,2562
"BC","29-01-2020",0,1
"BC","30-01-2020",0,1
"BC","31-01-2020",0,1
"BC","01-02-2020",0,1
"BC","02-02-2020",0,1
"BC","03-02-2020",0,1
"BC","04-02-2020",1,2
"BC","05-02-2020",0,2
"BC","06-02-2020",2,4
"BC","07-02-2020",0,4
"BC","08-02-2020",0,4
"BC","09-02-2020",0,4
"BC","10-02-2020",0,4
"BC","11-02-2020",0,4
"BC","12-02-2020",0,4
"BC","13-02-2020",0,4
"BC","14-02-2020",1,5
"BC","15-02-2020",0,5
"BC","16-02-2020",0,5
"BC","17-02-2020",0,5
"BC","18-02-2020",0,5
"BC","19-02-2020",0,5
"BC","20-02-2020",1,6
"BC","21-02-2020",0,6
"BC","22-02-2020",0,6
"BC","23-02-2020",0,6
"BC","24-02-2020",1,7
"BC","25-02-2020",0,7
"BC","26-02-2020",0,7
"BC","27-02-2020",0,7
"BC","28-02-2020",0,7
"BC","29-02-2020",1,8
"BC","01-03-2020",0,8
"BC","02-03-2020",0,8
"BC","03-03-2020",4,12
"BC","04-03-2020",1,13
"BC","05-03-2020",8,21
"BC","06-03-2020",0,21
"BC","07-03-2020",6,27
"BC","08-03-2020",0,27
"BC","09-03-2020",5,32
"BC","10-03-2020",7,39
"BC","11-03-2020",7,46
"BC","12-03-2020",7,53
"BC","13-03-2020",11,64
"BC","14-03-2020",9,73
"BC","15-03-2020",0,73
"BC","16-03-2020",30,103
"BC","17-03-2020",83,186
"BC","18-03-2020",45,231
"BC","19-03-2020",40,271
"BC","20-03-2020",77,348
"BC","21-03-2020",76,424
"BC","22-03-2020",0,424
"BC","23-03-2020",48,472
"BC","24-03-2020",145,617
"BC","25-03-2020",42,659
"BC","26-03-2020",66,725
"BC","27-03-2020",67,792
"BC","28-03-2020",92,884
"BC","29-03-2020",0,884
"BC","30-03-2020",86,970
"BC","31-03-2020",43,1013
"BC","01-04-2020",53,1066
"BC","02-04-2020",55,1121
"BC","03-04-2020",53,1174
"BC","04-04-2020",29,1203
"BC","05-04-2020",0,1203
"BC","06-04-2020",63,1266
"BC","07-04-2020",25,1291
"BC","08-04-2020",45,1336
"BC","09-04-2020",34,1370
"BC","10-04-2020",40,1410
"BC","11-04-2020",35,1445
"BC","12-04-2020",0,1445
"BC","13-04-2020",45,1490
"BC","14-04-2020",27,1517
"BC","15-04-2020",44,1561
"BC","16-04-2020",14,1575
"BC","17-04-2020",43,1618
"BC","18-04-2020",29,1647
"Ontario","25-01-2020",1,1
"Ontario","26-01-2020",0,1
"Ontario","27-01-2020",1,2
"Ontario","28-01-2020",0,2
"Ontario","29-01-2020",0,2
"Ontario","30-01-2020",0,2
"Ontario","31-01-2020",1,3
"Ontario","01-02-2020",0,3
"Ontario","02-02-2020",0,3
"Ontario","03-02-2020",0,3
"Ontario","04-02-2020",0,3
"Ontario","05-02-2020",0,3
"Ontario","06-02-2020",0,3
"Ontario","07-02-2020",0,3
"Ontario","08-02-2020",0,3
"Ontario","09-02-2020",0,3
"Ontario","10-02-2020",0,3
"Ontario","11-02-2020",0,3
"Ontario","12-02-2020",0,3
"Ontario","13-02-2020",0,3
"Ontario","14-02-2020",0,3
"Ontario","15-02-2020",0,3
"Ontario","16-02-2020",0,3
"Ontario","17-02-2020",0,3
"Ontario","18-02-2020",0,3
"Ontario","19-02-2020",0,3
"Ontario","20-02-2020",0,3
"Ontario","21-02-2020",0,3
"Ontario","22-02-2020",0,3
"Ontario","23-02-2020",1,4
"Ontario","24-02-2020",0,4
"Ontario","25-02-2020",0,4
"Ontario","26-02-2020",1,5
"Ontario","27-02-2020",1,6
"Ontario","28-02-2020",2,8
"Ontario","29-02-2020",3,11
"Ontario","01-03-2020",4,15
"Ontario","02-03-2020",0,15
"Ontario","03-03-2020",5,20
"Ontario","04-03-2020",0,20
"Ontario","05-03-2020",2,22
"Ontario","06-03-2020",6,28
"Ontario","07-03-2020",0,28
"Ontario","08-03-2020",4,32
"Ontario","09-03-2020",3,35
"Ontario","10-03-2020",2,37
"Ontario","11-03-2020",5,42
"Ontario","12-03-2020",17,59
"Ontario","13-03-2020",20,79
"Ontario","14-03-2020",24,103
"Ontario","15-03-2020",42,145
"Ontario","16-03-2020",32,177
